Resort,Country,HighestPoint,LowestPoint,DayPassPriceAdult,BeginnerSlope,IntermediateSlope,DifficultSlope,TotalSlope,Snowparks,NightSki,SurfaceLifts,ChairLifts,GondolaLifts,TotalLifts,LiftCapacity,SnowCannons,latitude,longitude
Buchenberg-Buching-Halblech-,Germany,1140,810,25,2,4,0,6,No,No,2,1,0,3,2800,0,47.3622,10.484
Zugspitze,Germany,2000,700,45,7,13,0,20,No,No,4,2,4,10,13150,0,47.2516,10.5907
Garmisch-Classic-Garmisch-Partenkirchen,Germany,2050,732,43,12,18,10,40,Yes,No,11,4,4,19,21090,0,47.2816,11.035
Wendelstein-Brannenburg-​Osterhofen,Germany,1723,791,35,0,7,4,11,No,No,2,0,2,4,3250,0,47.421,12.0044
Feldberg-Seebuck-​Grafenmatt-​Fahl,Germany,1448,888,35,7,14,5,26,Yes,No,9,5,0,14,17624,0,47.8597,8.0363
Mitterdorf-Almberg-– Mitterfirmiansreut,Germany,1139,841,23,2,2,1,6,No,Yes,9,1,0,10,6266,31,48.858,13.542
Geißkopf-Bischofsmais,Germany,1116,835,24,1,5,0,8,Yes,Yes,8,1,0,9,6950,16,48.9241,13.0372
Indoor ski area Snow Dome Bispingen,Germany,122,90,37,0,0,0,0,Yes,Yes,2,1,0,3,3710,12,53.065,9.5828
Sudelfeld-Bayrischzell,Germany,1563,850,33,5,24,3,32,Yes,No,10,5,0,15,17477,100,47.4016,12.0224
Grüntenlifte-Kranzegg-Rettenberg-,Germany,1700,900,31,2,14,0,16,Yes,No,8,1,0,9,7420,12,47.58,10.3
Nebelhorn-Oberstdorf,Germany,2224,828,44,2,5,4,11,No,No,3,2,3,8,5990,30,47.2518,10.2033
Eibenstock,Germany,745,650,18,0,0,0,1,Yes,Yes,2,1,0,3,1980,8,50.2944,12.3551
Fichtelberg-Oberwiesenthal,Germany,1215,911,26,6,6,2,15,Yes,Yes,6,2,1,9,7384,141,50.2543,12.5717
Schöneck-Skiwelt-,Germany,760,620,20,1,1,0,3,Yes,Yes,5,1,0,6,4324,16,50.2322,12.2047
Silbersattel-Steinach,Germany,842,590,19,2,1,0,4,Yes,No,3,1,0,4,3300,6,50.261,11.0757
Grasgehren-Bolgengrat,Germany,1700,1400,25,3,8,0,11,Yes,No,5,1,0,6,5140,10,47.44,10.18
Götschen-Bischofswiesen,Germany,1307,880,25,2,1,4,8,No,Yes,2,1,0,3,4000,35,47.63,12.93
Unternberg-Ruhpolding-,Germany,1417,710,20,1,1,0,2,No,Yes,3,1,0,4,3350,15,47.73,12.63
Postwiesen Skidorf-Neuastenberg,Germany,730,605,26,3,3,1,8,Yes,Yes,8,1,0,9,6762,23,51.0959,8.2911
Oberjoch-Bad Hindelang-– Iseler,Germany,1559,1130,38,6,24,2,32,Yes,Yes,2,4,0,6,12388,70,47.2955,10.2504
Kranzberg-Mittenwald,Germany,1350,980,29,6,7,2,15,Yes,Yes,9,1,0,10,5850,8,47.45,11.23
Rossfeld - Berchtesgaden - Oberau,Germany,1554,1300,20,7,1,0,8,Yes,Yes,4,0,0,4,3229,0,47.39,13.0337
Brauneck Lenggries ​Wegscheid,Germany,1712,700,35,8,22,4,34,No,Yes,16,4,1,21,19100,0,47.3949,11.3146
Hochschwarzeck,Germany,1385,1030,22,4,0,0,4,No,No,3,1,0,4,2880,0,47.3737,12.5418
