Resort,Country,HighestPoint,LowestPoint,DayPassPriceAdult,BeginnerSlope,IntermediateSlope,DifficultSlope,TotalSlope,Snowparks,NightSki,SurfaceLifts,ChairLifts,GondolaLifts,TotalLifts,LiftCapacity,SnowCannons,latitude,longitude
Aillons-Margériaz,France,1785,1370,19,18,4,1,24,No,No,7,1,0,8,10025,0,45.63,6.03
St. Pierre de Chartreuse-Le Planolet,France,1800,900,21,18,12,5,35,No,No,3,2,0,5,12610,35,45.2036,5.4858
Méribel (Les 3 Vallées),France,3230,1110,61,312,216,72,600,Yes,Yes,62,63,40,165,250860,2383,45.2348,6.3358
​Les Menuires (Les 3 Vallées),France,3230,1110,61,312,216,72,600,Yes,Yes,62,63,40,165,250860,2383,45.1928,6.3215
Les Sybelles-Le Corbier-​La Toussuire-​Les Bottières-​St Colomban des Villards-​St Sorlin-​St Jean d’Arves,France,2620,1100,44,53,239,18,310,Yes,Yes,44,28,0,72,83807,514,45.1517,6.1531
Le Grand Massif-Flaine-​Les Carroz-​Morillon-​Samoëns-​Sixt,France,2476,694,47,135,95,35,265,Yes,No,34,29,9,72,97624,1100,46.0167,6.6833
Megève-​Saint-Gervais,France,2353,850,46,98,134,31,263,Yes,Yes,50,27,9,86,106362,888,45.5336,6.425
Vars-​Risoul-La Forêt Blanche,France,2750,1650,39,75,90,20,185,Yes,Yes,32,17,2,51,50145,0,44.6223,6.6325
Le Grand Domaine-Valmorel-​Doucy-​Celliers-​St François Longchamp,France,2550,1250,44,115,35,15,165,Yes,No,36,17,3,56,60248,332,45.3976,6.3236
Galibier Thabor-Valmeinier-​Valloire,France,2594,1430,39,75,60,15,150,Yes,Yes,12,17,2,31,43300,400,45.1027,6.2933
Auron-Saint-Etienne-de-Tinée-,France,1600,1150,34,60,45,30,135,Yes,No,7,9,3,19,25030,440,44.1528,6.5531
La Clusaz-​Manigod,France,2477,1040,37,62,40,23,125,Yes,Yes,28,14,7,49,59346,223,45.5418,6.2526
Espace Villard Corrençon-Villard-de-Lans-​Corrençon-en-Vercors,France,2050,1050,36,50,50,25,125,Yes,No,18,7,3,28,26600,339,45.04,5.33
Val Cenis-Lanslevillard-​Lanslebourg-​Termignon,France,2800,1300,36,73,42,10,125,Yes,Yes,13,13,2,28,39824,200,45.17,6.54
Isola 2000,France,2603,1800,34,75,35,10,120,Yes,Yes,12,7,3,22,21807,430,44.1112,7.093
Les 7 Laux-Prapoutel-​Le Pleynet-​Pipay,France,2400,1350,36,46,36,38,120,Yes,No,15,8,1,24,32232,200,45.2557,5.9931
Saint-Lary-Soulan,France,1600,812,42,60,30,10,100,Yes,Yes,17,11,3,31,38733,290,42.81,0.33
Orcières Merlette 1850,France,2725,1850,34,55,38,7,100,Yes,No,20,7,3,30,29605,0,44.4149,6.1919
Dévoluy-Superdévoluy-​La Joue du Loup,France,2450,1450,36,60,30,10,100,Yes,No,18,5,1,24,27646,180,44.6768,5.9278
Grand Tourmalet-​Pic du Midi-La Mongie-​Barèges,France,2500,1250,42,58,35,7,100,Yes,No,21,15,2,38,40231,0,42.5429,0.842
Chamrousse,France,2250,1400,34,45,35,10,90,Yes,Yes,8,7,1,16,24398,78,45.0633,5.5228
Valberg-​Beuil les Launes,France,2020,1412,32,45,35,10,90,Yes,No,22,7,0,29,25940,400,44.0543,6.5554
Les Portes du Mont-Blanc-Combloux-​Megève le Jaillet-​La Giettaz,France,1835,1113,35,28,50,7,85,No,No,16,8,1,25,29842,0,45.8749,6.6333
Le Grand Bornand,France,2100,1000,37,49,27,8,84,Yes,Yes,18,13,2,33,36904,233,45.5633,6.2533
Ax les Thermes,France,1400,720,37,40,25,15,80,Yes,No,11,6,2,19,21320,0,42.4313,1.5023
Puy St. Vincent,France,2677,1407,34,28,34,13,75,Yes,Yes,4,8,0,12,17155,95,44.4951,6.2916
Valfréjus,France,2737,1550,29,40,20,10,70,Yes,No,5,4,1,10,15800,80,45.1026,6.3912
Piau Engaly,France,2560,1420,37,35,22,8,65,Yes,No,5,5,0,10,13615,40,42.4702,0.093
Super Sauze,France,2450,1400,30,35,20,10,65,Yes,No,18,4,0,22,17948,100,44.3578,6.6888
La Norma,France,2750,1350,29,17,43,5,65,Yes,No,7,5,1,13,13290,126,45.1208,6.4156
Le Lioran,France,1850,1160,31,30,20,10,60,Yes,Yes,13,8,1,22,25195,241,45.0459,2.7503
Les Karellis,France,2520,1600,27,26,25,9,60,Yes,No,10,6,0,16,17452,98,45.2279,6.4068
Peyragudes,France,2400,1600,40,30,26,4,60,Yes,No,8,9,0,17,22791,230,42.4724,0.2642
Font-Romeu-​Bolquère Pyrénées 2000,France,2213,1650,38,30,19,9,58,Yes,No,15,8,1,24,27378,535,42.5079,2.0117
Brévent-​Flégère-Chamonix-,France,2525,1030,51,11,25,20,56,Yes,No,6,8,5,19,26734,0,45.94,6.88
Les Houches-​Saint-Gervais-Prarion-​Bellevue-Chamonix-,France,1000,584,43,25,25,5,55,Yes,No,5,8,3,16,19859,133,45.9237,6.8698
Alpe du Grand-Serre-La Morte,France,2184,1367,27,36,17,2,55,Yes,No,12,3,0,15,13486,0,45.0126,5.5144
Les Angles,France,2376,1600,38,22,23,10,55,Yes,Yes,15,4,1,20,21787,363,42.3442,2.043
Aussois,France,2750,1500,29,30,22,3,55,Yes,No,4,4,0,8,9228,130,45.1338,6.4432
Hirmentaz-​Les Habères-Bellevaux-​Habère-Poche,France,1610,923,24,30,17,3,50,Yes,No,27,6,0,33,29480,0,46.1347,6.2942
Porté Puymorens,France,2471,1600,30,21,20,9,50,Yes,No,5,4,0,9,7380,70,42.3219,1.4929
Métabief,France,1420,1000,26,19,18,2,40,No,No,20,8,0,28,24745,0,46.4627,6.2109
Praz de Lys-​Sommand-Taninges-​Mieussy-,France,1966,1240,29,22,16,6,45,Yes,No,18,6,0,24,26205,60,46.1469,6.5905
Espace Dôle-La Dôle-​Les Tuffes,France,1678,1137,27,17,8,2,28,Yes,No,18,3,0,21,19380,0,46.4208,6.0029
Aiguille du Midi-Chamonix-,France,3842,1035,60,0,0,0,0,No,No,0,0,5,5,4820,0,45.5223,6.5314
SuperBesse-Puy de Sancy,France,1850,1300,32,30,9,4,43,Yes,Yes,16,5,1,22,21245,299,45.3038,2.5124
Arêches-Beaufort-,France,2300,1050,29,15,20,15,50,Yes,No,9,5,0,14,14462,45,45.413,6.3348
Luchon Superbagnères,France,1440,635,34,16,10,6,32,Yes,No,7,5,1,13,15965,180,42.464,0.3437
Lélex-​Crozet,France,900,640,28,16,7,4,28,Yes,No,15,2,2,19,16750,120,46.3,5.95
Gourette-Eaux Bonnes-,France,2450,1350,38,18,13,4,35,Yes,No,4,5,3,12,19660,158,42.5826,0.2327
Albiez-Montrond,France,2200,1500,25,25,7,3,35,No,No,8,5,0,13,10432,0,45.1314,6.2029
St. Jean Montclar,France,2500,1350,28,25,20,5,50,No,No,10,4,0,14,13320,0,44.4,6.33
Guzet,France,2100,1100,31,20,14,6,40,Yes,No,11,4,0,15,11130,100,42.4645,1.182
La Bresse-Hohneck,France,1350,872,29,13,7,1,21,No,Yes,12,6,0,18,21515,300,48.0,6.88
Molines-en-Queyras-​Saint-Véran,France,2800,1750,29,20,12,1,33,No,No,9,5,0,14,12290,0,44.7007,6.8683
Puigmal,France,2700,1830,0,9,15,7,32,No,No,11,2,0,13,11865,0,42.23,2.07
Les Arcs /​ Peisey-Vallandry (Paradiski),France,3226,1200,50,104,70,26,200,Yes,Yes,17,27,8,52,82641,793,45.55,6.84
Tignes - ​Val d'Isère,France,3456,1550,56,170,78,52,300,Yes,No,33,42,11,86,145461,848,45.371,6.4515
Courchevel (Les 3 Vallées),France,3230,1110,61,312,216,72,600,Yes,Yes,62,63,40,165,250860,2383,45.2454,6.3802
Les Gets (Les Portes du Soleil),France,2466,1000,51,310,210,60,580,Yes,Yes,89,74,11,174,252280,1074,46.0934,6.4032
Avoriaz (Les Portes du Soleil),France,2466,1000,51,310,210,60,580,Yes,Yes,89,74,11,174,252280,1074,46.1127,6.463
Châtel (Les Portes du Soleil),France,2466,1000,51,310,210,60,580,Yes,Yes,89,74,11,174,252280,1074,46.1137,6.4624
Saint Martin de Belleville (Les 3 Vallées),France,3230,1110,61,312,216,72,600,Yes,Yes,62,63,40,165,250860,2383,45.3947,6.5033
La Plagne (Paradiski),France,3167,1207,50,139,59,27,225,Yes,No,56,32,12,100,136733,417,45.5,6.6667
Alpe d'Huez,France,3330,1125,51,70,130,50,250,Yes,Yes,27,21,20,68,92097,963,45.0337,6.0417
Bonneval sur Arc,France,3000,1850,28,13,11,1,25,No,No,8,3,0,11,8213,0,45.222,7.025
Le Lys - Cauterets,France,1360,932,37,21,12,3,36,Yes,No,6,4,1,11,13038,0,42.5256,0.092
Pont d'Espagne - Cauterets,France,1756,1516,35,3,1,0,4,No,No,2,1,1,4,4150,0,42.5104,0.0824
Grands Montets-Argentière (Chamonix),France,3275,1252,62,6,9,14,29,Yes,No,1,4,4,9,15756,0,45.9833,6.9167
Balme-​Les Autannes-Vallorcine-​Le Tour,France,2270,1453,51,13,16,0,29,Yes,No,8,2,2,12,14860,0,46.011,6.5853
Espace Diamant-Les Saisies/​Notre-Dame-de-Bellecombe/​Praz sur Arly/​Flumet/​Crest-Voland,France,2069,1000,40,132,49,11,192,Yes,Yes,53,30,0,83,90852,472,45.474,6.3315
Gresse en Vercors,France,1751,1245,19,8,7,5,20,Yes,No,10,1,0,11,6808,51,44.54,5.34
La Grave - La Meije,France,3534,1470,49,3,0,0,3,No,No,1,0,2,3,1460,0,45.0249,6.1824
Espace San Bernardo – La Rosière/​La Thuile,France,2641,1176,43,55,83,22,160,Yes,No,21,18,1,40,53669,0,45.6883,6.9135
